File Path,Code Added,Code Deleted,Code Modified,Comment Added,Comment Deleted,Comment Modified
"AGENTS.md",13,0,0,0,0,0
"CLAUDE.md",159,0,0,0,0,0
"README.md",107,0,0,0,0,0
"build_app.ps1",24,0,0,3,0,0
"dist\assets\CodeStatisticsPage-DwTIbUqi.js",315,0,0,0,0,0
"dist\assets\CodeStatisticsPage-DwTIbUqi.js.map",1,0,0,0,0,0
"dist\assets\FrameworkPasswordPage-CNwNs7ls.js",1,0,0,0,0,0
"dist\assets\FrameworkPasswordPage-CNwNs7ls.js.map",1,0,0,0,0,0
"dist\assets\NetworkToolsPage-BejP2Wt0.js",2,0,0,0,0,0
"dist\assets\NetworkToolsPage-BejP2Wt0.js.map",1,0,0,0,0,0
"dist\assets\ToolsHubPage-CB11O0bm.js",6,0,0,0,0,0
"dist\assets\ToolsHubPage-CB11O0bm.js.map",1,0,0,0,0,0
"dist\assets\ToolsHubPage-Dg-iNDz8.css",1,0,0,0,0,0
"dist\assets\chart-column-Cr2XCJxe.js",6,0,0,0,0,0
"dist\assets\chart-column-Cr2XCJxe.js.map",1,0,0,0,0,0
"dist\assets\index-C9BCH-8J.js",264,0,0,0,0,0
"dist\assets\index-C9BCH-8J.js.map",1,0,0,0,0,0
"dist\assets\index-NbsDY_xu.css",0,0,0,1,0,0
"dist\assets\key-round-J6c67aB4.js",6,0,0,0,0,0
"dist\assets\key-round-J6c67aB4.js.map",1,0,0,0,0,0
"dist\index.html",14,0,0,0,0,0
"docs\superpowers\plans\2026-03-12-framework-password-and-sidebar-enhancement.md",759,0,0,0,0,0
"docs\superpowers\plans\2026-03-12-manual-copy-ui-refactor.md",630,0,0,0,0,0
"docs\superpowers\plans\2026-03-25-network-tools.md",802,0,0,0,0,0
"docs\superpowers\plans\2026-03-26-scan-queue-control.md",865,0,0,0,0,0
"docs\superpowers\plans\2026-04-02-local-post-copy-scripts-implementation.md",121,0,0,0,0,0
"docs\superpowers\plans\2026-04-02-task-state-hard-cut-implementation.md",1182,0,0,0,0,0
"docs\superpowers\specs\2026-03-25-network-tools-design.md",122,0,0,0,0,0
"docs\superpowers\specs\2026-03-28-tools-hub-header-design.md",50,0,0,0,0,0
"docs\superpowers\specs\2026-03-30-task-state-backend-refactor-design.md",285,0,0,0,0,0
"docs\superpowers\specs\2026-04-02-local-post-copy-scripts-design.md",189,0,0,0,0,0
"docs\superpowers\specs\2026-04-02-task-state-hard-cut-design.md",259,0,0,0,0,0
"index.html",24,0,0,0,0,0
"node_modules\.bin\eslint.CMD",12,0,0,0,0,0
"node_modules\.bin\eslint.ps1",34,0,0,5,0,0
"node_modules\.bin\tauri.CMD",12,0,0,0,0,0
"node_modules\.bin\tauri.ps1",34,0,0,5,0,0
"node_modules\.bin\tsc.CMD",12,0,0,0,0,0
"node_modules\.bin\tsc.ps1",34,0,0,5,0,0
"node_modules\.bin\tsserver.CMD",12,0,0,0,0,0
"node_modules\.bin\tsserver.ps1",34,0,0,5,0,0
"node_modules\.bin\vite.CMD",12,0,0,0,0,0
"node_modules\.bin\vite.ps1",34,0,0,5,0,0
"node_modules\.bin\vue-tsc.CMD",12,0,0,0,0,0
"node_modules\.bin\vue-tsc.ps1",34,0,0,5,0,0
"node_modules\.modules.yaml",804,0,0,0,0,0
"node_modules\.pnpm-workspace-state-v1.json",25,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\code-frame\README.md",12,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\code-frame\lib\index.js",210,0,0,1,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\code-frame\lib\index.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\code-frame\package.json",32,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\README.md",12,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\identifier.js",67,0,0,1,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\identifier.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\index.js",54,0,0,1,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\index.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\keyword.js",32,0,0,1,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\lib\keyword.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\@babel\helper-validator-identifier\package.json",31,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\js-tokens\CHANGELOG.md",96,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\js-tokens\README.md",165,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\js-tokens\index.js",16,0,0,4,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\js-tokens\package.json",30,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\README.md",16,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\package.json",25,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\picocolors.browser.js",4,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\picocolors.d.ts",3,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\picocolors.js",67,0,0,0,0,0
"node_modules\.pnpm\@babel+code-frame@7.29.0\node_modules\picocolors\types.d.ts",45,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\README.md",12,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\corejs2-built-ins.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\corejs3-shipped-proposals.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\corejs2-built-ins.json",2106,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\corejs3-shipped-proposals.json",5,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\native-modules.json",18,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\overlapping-plugins.json",35,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\plugin-bugfixes.json",203,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\data\plugins.json",838,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\native-modules.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\overlapping-plugins.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\package.json",40,0,0,0,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\plugin-bugfixes.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+compat-data@7.29.0\node_modules\@babel\compat-data\plugins.js",1,0,0,1,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\code-frame\README.md",12,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\code-frame\lib\index.js",210,0,0,1,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\code-frame\lib\index.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\code-frame\package.json",32,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\README.md",12,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\cache-contexts.js",2,0,0,1,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\cache-contexts.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\caching.js",258,0,0,1,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\caching.js.map",1,0,0,0,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\config-chain.js",466,0,0,1,0,0
"node_modules\.pnpm\@babel+core@7.29.0\node_modules\@babel\core\lib\config\config-chain.js.map",1,0,0,0,0,0
